"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"Virginia Power - Allegheny Pwr","427952","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (1)","Surface Water Intake","0","","0","3997.241","0","0","3900"
"Virginia Power - Allegheny Pwr","71548","BATH COUNTY PUMPED STORAGE(BATH COUNTY PUMPED STORAGE)","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (3)","Surface Water Intake","0","","0","1856.981","0","0","327.36"
"Virginia Power - Allegheny Pwr","163154","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (3)","Surface Water Intake","0","","0","1856.981","0","0","327.36"
"Virginia Power - Allegheny Pwr","427952","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (3)","Surface Water Intake","0","","0","1856.981","0","0","327.36"
"Virginia Power - Allegheny Pwr","71548","BATH COUNTY PUMPED STORAGE(BATH COUNTY PUMPED STORAGE)","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (2)","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Power - Allegheny Pwr","163154","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (2)","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Power - Allegheny Pwr","427952","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","BACK CREEK (2)","Surface Water Intake","0","","0","0","0","0","0"
"Virginia Power - Allegheny Pwr","71548","BATH COUNTY PUMPED STORAGE(BATH COUNTY PUMPED STORAGE)","BATH COUNTY PUMPED STORAGE","active","Bath","LITTLE BACK CREEK","Surface Water Intake","0","","0","47.771","0","0","9.87"
"Virginia Power - Allegheny Pwr","163154","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","LITTLE BACK CREEK","Surface Water Intake","0","","0","47.771","0","0","9.87"
"Virginia Power - Allegheny Pwr","427952","Dominion - Bath County Power Station","BATH COUNTY PUMPED STORAGE","active","Bath","LITTLE BACK CREEK","Surface Water Intake","0","","0","47.771","0","0","9.87"
"Bath County Service Authority","71209","Bath County Regional Water System(Bath County Regional)","Bath County Regional Water System","active","Bath","SMITH SPRING","Surface Water Intake","0","","0","0","0","0","0"
"Bath County Service Authority","71209","Bath County Regional Water System(Bath County Regional)","Bath County Regional Water System","active","Bath","QUEEN SPRINGS","Surface Water Intake","0","","0","15.29","0","0","1.705"
"","0","","Bath (Large Self-Supplied User)","proposed","Bath","Bath (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Mjm Global","69263","BATTLEFIELD GOLF COURSE(BATTLEFIELD GOLF COURSE (Irrigation))","BATTLEFIELD GOLF COURSE","active","Chesapeake","Pond at #11","Surface Water Intake","0","","0","0","0","0","0"
"Mark And Daniel Flora","70098","BATTLE GLEN FARM","BATTLE GLEN FARM","active","Augusta","TRIB TO MIDDLE RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 6","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 17","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 2","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 16","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 4","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 13","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 3","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 7","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 8","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 9","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 15","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 14","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 3 (Nicklaus Pump Station)","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 10","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 5","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 11","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 18","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 20","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 21","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 19 Palmer","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 22","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 23","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 24","Surface Water Intake","0","","0","0","0","0","0"
"Bay Creek Resort & Club","69656","BAY CREEK RESORT & CLUB(BAY CREEK RESORT & CLUB)","BAY CREEK RESORT & CLUB","active","Northampton","Lake 25","Surface Water Intake","0","","0","0","0","0","0"
"Bayshore Concrete Product Corp","0","","Bayshore Concrete Products","active","Northampton","Chesapeake Bay","Surface Water Intake","0","","0","0","0","0","0"
"Bayville Golf Club","66454","Bayville Golf Club","Bayville Golf Club","active","Virginia Beach","LAKE","Surface Water Intake","0","","0","0","0","0","0"
"B C Rigney","69812","Surface Water Reporting - [no name]","B C RIGNEY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Beaver Hills Development Corp","90395","BEAVER HILLS GOLF COURSE(BEAVER HILLS GOLF COURSE (Irrigation))","BEAVER HILLS GOLF COURSE","active","Martinsville","Closed Rock Quarry","Surface Water Intake","0","","0","0","0","0","0"
"Bedford Regional Water Authority","68743","Bedford Central Water Treatment Plant(Bedford Central)","Bedford Central Water Treatment Plant","active","Bedford County","STONEY CREEK RESERVOIR","Surface Water Intake","3","VWUDS Form","1","467.756","3.63","0","47.91"
"Bedford Regional Water Authority","68743","Bedford Central Water Treatment Plant(Bedford Central)","Bedford Central Water Treatment Plant","active","Bedford County","Sheep Creek Intake","Surface Water Intake","1.5","VWUDS Form","1","0","3.63","0","0"
"Bedford Regional Water Authority","68743","Bedford Central Water Treatment Plant(Bedford Central)","Bedford Central Water Treatment Plant","active","Bedford County","Big Otter ","Surface Water Intake","0","","0","0","3.63","0","0"
"","0","","Bedford County (Agriculture)","proposed","Bedford County","Bedford County (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Bedford County (Community Water System)","proposed","Bedford County","Bedford County (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Bedford County Country Club Inc","90390","Bedford County Country Club(Bedford County Country Club (Irrigatio)","Bedford County Country Club","active","Bedford County","Spring-fed Pond","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Bedford County (Large Self-Supplied User)","proposed","Bedford County","Bedford County (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Anthony P Beery","70094","BEERY FARMS INC","BEERY FARMS INC","inactive","Rockingham","PLEASANT RUN","Surface Water Intake","0","","0","0","0","0","0"
"Thomas B Gilbert","69317","BELAIRE FARM","BELAIRE FARM","active","Middlesex","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Thomas B Gilbert","69317","BELAIRE FARM","BELAIRE FARM","active","Middlesex","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Robert Campbell","69005","BELL ACRE FARM","BELL ACRE FARM","inactive","King William","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Belle Haven Country Club","66833","Belle Haven Country Club","Belle Haven Country Club","active","Fairfax County","MAIN PUMPHOUSE RESERVOIR","Surface Water Intake","0","","1","0","0","0","0"
"James P Wolfe","69336","BELLE MEADE FARM","BELLE MEADE FARM","inactive","Essex","RAPPAHANNOCK RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Blue Ridge Growers Inc","71558","Bell Nursery (formerly Blue Ridge Growers, Inc.)(Bell Nursery (formerly Blue Ridge Growers, Inc.))","Bell Nursery (formerly Blue Ridge Growers, Inc.)","active","Culpeper","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Blue Ridge Growers Inc","71558","Bell Nursery (formerly Blue Ridge Growers, Inc.)(Bell Nursery (formerly Blue Ridge Growers, Inc.))","Bell Nursery (formerly Blue Ridge Growers, Inc.)","active","Culpeper","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"United States Government","71057","BELLWOOD WTP(DEFENSE GENERAL SUPPLY CENTER)","BELLWOOD WTP","inactive","Chesterfield","FALLING CREEK","Surface Water Intake","0","","0","66.5","0","0","8.99"
"Belmont Country Club I, LLC","69495","Belmont Country Club(Belmont Country Club (Irrigation()","Belmont Country Club","active","Loudoun","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Belmont Country Club I, LLC","281764","Belmont Country Club and Golf Course","Belmont Country Club","active","Loudoun","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Henrico County-Belmont Golf","71537","BELMONT GOLF COURSE(BELMONT GOLF COURSE)","BELMONT GOLF COURSE","active","Henrico","IRRIGATION LAKE","Surface Water Intake","0","","5","15.103","0","0","2.754"
"Henrico County-Belmont Golf","71537","BELMONT GOLF COURSE(BELMONT GOLF COURSE)","BELMONT GOLF COURSE","active","Henrico","NORTH RUN","Surface Water Intake","0","","5","14.858","0","0","3.34"
"Henrico County-Belmont Golf","71537","BELMONT GOLF COURSE(BELMONT GOLF COURSE)","BELMONT GOLF COURSE","active","Henrico","UPHAM CREEK","Surface Water Intake","0","","5","0","0","0","0"
"Mckendree R Fulks","69053","BELVEDERE PLANTATION","BELVEDERE PLANTATION","active","Spotsylvania","RAPPAHANNOCK RIVER","Surface Water Intake","0","","4","0","0","0","0"
"Mckendree R Fulks","69053","BELVEDERE PLANTATION","BELVEDERE PLANTATION","active","Spotsylvania","RUFFENS POND","Surface Water Intake","0","","4","0","0","0","0"
"Mckendree R Fulks","69053","BELVEDERE PLANTATION","BELVEDERE PLANTATION","active","Spotsylvania","RAPPAHANNOCK R DRIP PUMP","Surface Water Intake","0","","4","0","0","0","0"
"Joseph Lee Kellam","68894","BEN F. KELLAM JR. ESTATE","BEN F. KELLAM JR. ESTATE","inactive","Northampton","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Ben J Wyatt","70277","Surface Water Reporting - [no name]","BEN J WYATT","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"MatthewSawyer","66030","[no name]","Bennetts Creek Wholesale Nursery","active","Suffolk","FARM POND  50 ACRE FIELD","Surface Water Intake","0","","0","0","0","0","0"
"MatthewSawyer","66030","[no name]","Bennetts Creek Wholesale Nursery","active","Suffolk","FARM POND FOR FILLING PONDS","Surface Water Intake","0","","0","0","0","0","0"
"MatthewSawyer","66030","[no name]","Bennetts Creek Wholesale Nursery","active","Suffolk","FARM POND  35 ACRE FIELD","Surface Water Intake","0","","1","0","0","0","0"
"MatthewSawyer","66030","[no name]","Bennetts Creek Wholesale Nursery","active","Suffolk","FARM POND  120 ACRE FIELD","Surface Water Intake","0","","2","0","0","0","0"
"MatthewSawyer","66030","[no name]","Bennetts Creek Wholesale Nursery","active","Suffolk","Farm pond","Surface Water Intake","0","","0","0","0","0","0"
"MatthewSawyer","66030","[no name]","Bennetts Creek Wholesale Nursery","active","Suffolk","pump house 3","Surface Water Intake","0","","0","0","0","0","0"
"Berkeley Plantation Partnrship","69037","BERKELEY PLANTATION","BERKELEY PLANTATION","inactive","Charles City","Farm Pond","Surface Water Intake","0","","2","0","0","0","0"
"Berkeley Plantation Partnrship","69037","BERKELEY PLANTATION","BERKELEY PLANTATION","inactive","Charles City","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Berkeley Plantation Partnrship","69037","BERKELEY PLANTATION","BERKELEY PLANTATION","inactive","Charles City","JAMES RIVER-Duplicate","Surface Water Intake","0","","0","0","0","0","0"
"Berkeley Plantation Partnrship","69037","BERKELEY PLANTATION","BERKELEY PLANTATION","inactive","Charles City","James River","Surface Water Intake","0","","2","0","0","0","0"
"Berkley Pump Co","71386","BERKELEY PUMP CO. GOLF COURSE(BERKELEY PUMP CO. GOLF COURSE)","BERKELEY PUMP CO. GOLF COURSE","inactive","New Kent","LAKE","Surface Water Intake","0","","0","11.197","0","0","2.201"
"Berryville, Town Of","71481","BERRYVILLE WTP(BERRYVILLE)","BERRYVILLE WTP","active","Clarke","SHENANDOAH RIVER","Surface Water Intake","1.153","VWUDS Form","1","130.605","1.73","0","12.4"
"Berryville, Town Of","71481","BERRYVILLE WTP(BERRYVILLE)","BERRYVILLE WTP","active","Clarke","RESERVOIR","Surface Water Intake","0","","0","70.887","1.73","0","8.804"
"T. Lee Byrd & Sons","66541","Bethel Church Farm","Bethel Church","active","Accomack","BETHEL CHURCH IRRIGATION POND","Surface Water Intake","0","","5","0","0","0","0"
"United States Government","71015","BIG BETHEL WTP(BIG BETHEL RESERVOIR)","BIG BETHEL WTP","inactive","Hampton","BIG BETHEL RESERVOIR","Surface Water Intake","0","","0","1170.746","0","0","132.494"
"Black Diamond Company","69657","BIG ROCK NO.  7 PREP PLANT(WELLMORE COAL CO.  #7 PLANT)","BIG ROCK NO.  7 PREP PLANT","active","Buchanan","LEVISA FORK","Surface Water Intake","0.25","VWUDS Form","1","0","0","0","0"
"Black Diamond Company","68785","BIG ROCK NO.  8 PREP PLANT(BIG ROCK  #3  PLANT)","BIG ROCK NO.  8 PREP PLANT","active","Buchanan","LEVISA RIVER","Surface Water Intake","1","VWUDS Form","1","29.2","0","0","4"
"Big Stone Gap, Town Of","69773","BIG STONE GAP WTP(BIG STONE GAP)","BIG STONE GAP WTP","active","Wise","POWELL RIVER - EMERGENCY WD","Surface Water Intake","0","","0","0","0","0","0"
"Big Stone Gap, Town Of","163153","Big Cherry Dam","BIG STONE GAP WTP","active","Wise","POWELL RIVER - EMERGENCY WD","Surface Water Intake","0","","0","0","0","0","0"
"Big Stone Gap, Town Of","69773","BIG STONE GAP WTP(BIG STONE GAP)","BIG STONE GAP WTP","active","Wise","SOUTH FORK POWELL RIVER","Surface Water Intake","0","","0","454.894","0","0","40.61"
"Big Stone Gap, Town Of","163153","Big Cherry Dam","BIG STONE GAP WTP","active","Wise","SOUTH FORK POWELL RIVER","Surface Water Intake","0","","0","454.894","0","0","40.61"
"Birchwood Power Partners, L.P.","66829","SEI Birchwood Power Facility","Birchwood Power Facility","active","King George","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Birchwood Power Partners, L.P.","399675","Birchwood Power Facility Surface Water Withdrawal","Birchwood Power Facility","active","King George","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","0","0","0","0"
